scientific_name	colour	check	matched_on	was	what the flora says
Helianthus maximiliani	yellow		name	#f2c11e	Yellow-disked flower heads 5-8 cm broad,  on short stalks.
Helianthus nuttallii	yellow		name	#f2c11e	Flower heads on long  stalks, 35-65 mm across, with a yellowish disk.
Helianthus tuberosus	yellow		name	#f2c11e	Numerous heads 5-8 cm  across, with a yellow disk and 12-20 yellow ray florets.
Heuchera parvifolia	green		name	#ece6c8	flowers greenish.
Heuchera richardsonii	purple		name	#ece6c8	Petals purplish, a trifle longer than sepals.
Hieracium umbellatum	yellow		name	#f2c11e	Numerous yellow heads 20-25 mm across.
Iliamna rivularis	pink,purple,white	CHECK	name	#e58fb0	Flowers about 5 cm across, pink to purplish or sometimes  white;
Juncus balticus	brown	CHECK	name	#cbbd80	perianth 4-5 mm long, purplish  brown;
Juncus drummondii	brown		name	#cbbd80	perianth  segments 5-7 mm long, brown with a light midrib;
Juncus nodosus	brown	CHECK	name	#cbbd80	perianth segments 2.5-4 mm long, reddish brown;
Juncus vaseyi	brown		name	#cbbd80	perianth segments 3.5-4.5 mm long, brown;
Lathyrus venosus	purple		name	#8e6fc4	Flowers purple, 10-18 mm long, 15-20 in each raceme.
Liatris ligulistylis	purple	CHECK	name	#d6457e	Heads 2-3 cm across, reddish purple, on short stalks in a long raceme.
Liatris punctata	purple,white	CHECK	name	#d6457e	Heads  in a dense crowded spike, usually about 15 mm wide, with 4-6 pinkish purple  tubular florets, usually showing many white plumose pappus hairs.
Linnaea borealis	pink		name	#e58fb0	Flowers pink, fragrant, funnelform, about 1 cm long, with only 4  stamens, in pairs, pendent or hanging downward from the top of a stem 3-10  cm high.
Linum lewisii	blue		name	#6f8fd6	Flowers blue, 20-35 mm across;
Lithospermum ruderale	yellow	CHECK	name	#f0a818	Numerous dull greenish yellow flowers crowded at  top of stem in a leafy cluster.
Lonicera involucrata	yellow		name	#f0a818	Flowers in pairs, yellow, with large leaf-like bracts at bases.
Lupinus argenteus	purple,white	CHECK	name	#7e7fc4	Flowers varying from light violet or purplish to almost white, in long terminal racemes.
Lupinus sericeus	blue		name	#7e7fc4	Dark blue flowers in dense terminal spikes.
Lysimachia ciliata	yellow		name	#f2c11e	The flowers are yellow, therefore it appears to belong to the genus  Lysimachia, or loosestrife.
Menyanthes trifoliata	white,purple	CHECK	name	#f2f2ea	Flowers clustered in a raceme at the head of a separate stalk, whitish or  pinkish purple, 10-15 mm long.
Mertensia paniculata	blue	CHECK	name	#6f8fd6	Flowers in few-flowered clusters at ends of stems,  purplish blue, 10-15 mm long.
Mimulus ringens	blue,purple	CHECK	name	#f2c11e	Flowers blue or violet, 20-35  mm long, with a narrow throat.
Mitella nuda	white	CHECK	name	#ece6c8	Flowers borne in a raceme on a  stalk 5-20 cm high, 5-6 mm across, with 4 greenish sepals and 5 greenish white  petals, very finely divided and branched, pinnatifid.
Monarda fistulosa	pink,purple	CHECK	name	#b07fc0	Corollas hairy,  20-25 mm long, protruding far above calyxes, pink or lilac, very conspicuous.
Oenothera biennis	yellow		name	#f2c11e	Flowers yellow, 2-5 cm across, opening in evening, borne in a leafy terminal spike.
Opuntia fragilis	yellow		name	#f2c11e	Flowers pale yellow, about 5 cm across.
Opuntia polyacantha	yellow,orange	CHECK	name	#f2c11e	Flowers showy, yellow to pinkish orange, 5-8 cm across.
Orthocarpus luteus	yellow		name	#f2c11e	Yellow flowers 10-15 mm long, on very leafy narrow terminal  spikes, and followed by numerous many-seeded capsules.
Oxytropis sericea	yellow		name	#8e6fc4	flowers 18-20 mm long, yellowish;
Oxytropis splendens	blue		name	#8e6fc4	flowers 12-15 mm long, dark blue;
Pedicularis bracteosa	yellow		name	#e58fb0	Flowers pale yellow, about 2 cm long, in a dense terminal spike 10-30 cm  long.
Penstemon albertinus	blue,purple	CHECK	name	#8e6fc4	flowers deep blue to purplish,  15-20 mm long;
Penstemon ellipticus	purple		name	#8e6fc4	flowers 20-35 mm long, purple violet;
Penstemon eriantherus	red,purple	CHECK	name	#8e6fc4	Flowers red  or purple, 20-25 mm long, with sterile stamens densely hairy;
Penstemon gracilis	purple		name	#8e6fc4	flowers borne in clusters of 2 or 3 in the axils of upper leaves, forming an  open panicle, pale purple or lilac, 20-25 mm long.
Penstemon lyallii	blue,purple	CHECK	name	#8e6fc4	flowers 35^0 mm long,  deep blue to purple;
Phacelia sericea	purple,white	CHECK	name	#7e7fc4	corolla dark bluish purple, rarely white;
Polemonium pulcherrimum	blue		name	#6f8fd6	flowers blue, 10-15 mm  across;
Potentilla gracilis	yellow		name	#f2c11e	Flowers yellow, 15-20 mm  across.
Prunella vulgaris	purple		name	#8e6fc4	Flowers in  short dense terminal spikes, violet purple, 8-12 mm long.
Prunus pensylvanica	white		name	#f2f2ea	Flowers small, white, on long stalks in corymbose clusters 6-10 mm  across, opening about the same time as the leaves.
Prunus virginiana	white		name	#f2f2ea	Flowers white, about 12 mm across, in loose racemes.
Ranunculus rhomboideus	yellow		name	#f2c11e	Flowers yellow, 10-20 mm across;
Ratibida columnifera	purple		name	#f2c11e	Flower  heads borne at ends of long stalks, conspicuous by the cylindrical disk or  receptacle, gray to purple, about 6 mm wide, 10-35 mm high.
Ribes americanum	white	CHECK	name	#ece6c8	Flowers  greenish white, with a tubular calyx 3-5 mm long, and borne in drooping  racemes.
Ribes hudsonianum	white		name	#ece6c8	Flowers white, in racemes.
Ribes lacustre	green,purple	CHECK	name	#ece6c8	Flowers in racemes,  green or purplish.
Ribes oxyacanthoides	purple,white	CHECK	name	#ece6c8	123) northern gooseberry  A low, bristly shrub or bush to 1 m high, with lobed leaves 1-4 cm broad  and greenish purple or white sepals and petals;
Rubus idaeus	white		name	#f2f2ea	Flowers white, 8-12 mm across;
Rubus parviflorus	white		name	#f2f2ea	Flowers 2-4 cm across, white;
Rubus pedatus	green		name	#f2f2ea	sepals green, 8-10 mm long;
Rubus pubescens	white,pink	CHECK	name	#f2f2ea	Flowers borne in groups of 2 or 3 with white or pink petals, 8-12  mm across, with reflexed sepals.
Scutellaria galericulata	blue		name	#8e6fc4	Flowers borne either singly or in pairs at axils of  leaves, blue, 15-25 mm long.
Sedum lanceolatum	yellow		name	#f2c11e	Flowers  about 1 cm across, yellow, borne in a terminal cyme.
Sisyrinchium montanum	blue		name	#6f8fd6	Flowers bright blue,  with petals 3 mm long.
Spiraea alba	white		name	#f2f2ea	flowers small and white.
Spiraea alba var. latifolia	white		name	#f2f2ea	flowers small and white.
Symphoricarpos occidentalis	pink,white	CHECK	name	#e58fb0	Flowers pink  and white, with styles and stamens conspicuously projecting from corolla, in  rather dense terminal and axillary spikes.
Thermopsis rhombifolia	yellow		name	#f2c11e	Very bright golden yellow flowers, 1-2 cm long, in rather dense racemes;
Townsendia exscapa	blue,white	CHECK	name	#b07fc0	Flower heads stalkless, borne amongst  rosettes of leaves, 20-35 mm across, and with bluish or white ray florets.
Townsendia parryi	white		name	#b07fc0	bloom A whitish, powdery covering.
Utricularia vulgaris	yellow		name	#f2f2ea	Flowers yellow, 15-25 mm  long, in a raceme of 6-15 flowers on a long, flowering stem 10-30 cm high.
Vaccinium myrtillus	white	CHECK	name	#e58fb0	Flowers greenish white, 3-6 mm long, almost globular;
Vaccinium uliginosum	pink		name	#e58fb0	Flowers mostly in clusters of 2-4, pink,  5-7 mm long;
Valeriana sitchensis	white,pink	CHECK	name	#f2f2ea	corolla 6-8 mm long, white or pinkish.
Viburnum opulus	white	CHECK	name	#f2f2ea	inner  flowers smaller, creamy white, and perfect.
Vicia americana	purple	CHECK	name	#8e6fc4	Flowers 15-20 mm  long, bluish purple, in loose 3- to 9-flowered racemes.
Viola palustris	purple,white	CHECK	name	#8e6fc4	Flowers pale lilac, occasionally nearly white, with darker veins;
Viola pedatifida	purple		name	#8e6fc4	Flowers violet, very showy.
Zizia aptera	yellow		name	#f2c11e	Flowers bright yellow, in compound umbels, early flowering.
